Common name;Scientific name;Power text;PT Suomeksi
Eastern Imperial Eagle;Aquila heliaca;For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.;Jokaista tämän linnun hinnassa olevaa [jyrsijää] kohden voit sen sijaan maksaa 1 [kortin] kädestäsi. Jos teet niin, työnnä maksettu [kortti] tämän kortin taakse.
Eastern Kingbird;Tyrannus tyrannus;When another player plays a bird in their [forest], gain 1 [invertebrate] from the supply.;Kun toinen pelaaja pelaa lintua hänen [metsässään], saa 1 [ötökän] tarjouksesta.
Eastern Phoebe;Sayornis phoebe;All players gain 1 [invertebrate] from the supply.;Kaikki pelaajat saavat 1 [ötökän] tarjouksesta.
Eastern Rosella;Platycercus eximius;All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.;Kaikki pelaajat saavat 1 [nektarin] tarjonnasta. Saat myös 1 [siemenen] tarjonnasta.
Eastern Screech-Owl;Megascops asio;Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos joku on [jyrsijä], tallenna 1 [jyrsijä] tämän linnun päälle.
Eastern Whipbird;Psophodes olivaceus;Choose 1 other player. You both gain 1 [seed] from the supply.;Valitse 1 muu pelaaja. Saatte molemmat 1 [siemenen] tarjonnasta.
Eleonora's Falcon;Falco eleonorae;Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.;Pyöritä kaikkia noppia, jotka eivät ole lintujenruokintakoneessa. Jos joku on [jyrsijä], aseta 1 [muna] tälle kortille.
Emu;Dromaius novaehollandiae;Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).;Hanki kaikki [siemenet], jotka ovat lintujen ruokintalaitteessa. Säilytä puolet (pyöristettynä ylöspäin) ja valitse sitten, kuinka jaat loput muiden pelaajien kesken.
Eurasian Collared-Dove;Streptopelia decaocto;Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.;Hävitä jopa 5 [valinnaista] varastostasi. Työnnä jokaista kohden 1 [kortti] pakasta tämän linnun taakse.
Eurasian Golden Oriole;Oriolus oriolus;"When another player takes the ""gain food"" action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.";"Kun toinen pelaaja ottaa ""hanki ruokaa"" -toiminnon, saa 1 [ötökkä] tai [hedelmä] linnunruokintalaitteesta vuoronsa lopussa."
Eurasian Green Woodpecker;Picus viridis;This bird counts double toward the end-of-round goal, if it qualifies for the goal.;Tämä lintu lasketaan kaksinkertaisesti kierroksen lopun maaliin, jos se pätee maaliin.
Eurasian Hobby;Falco subbuteo;Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.;Sen sijaan, että maksat mitään, voit pelata tätä lintua toisen linnun päällä pelaajamatollasi. Hävitä linnun munat ja ruoka. Siitä tulee piilotettu kortti.
Eurasian Jay;Garrulus glandarius;Steal 1 [seed] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.;Varasta 1 [siemen] toisen pelaajan varastosta ja tallenna se tälle linnulle. He saavat 1 [nopan] lintujen ruokintakoneesta.
Eurasian Magpie;Pica pica;Choose 1 other player. For each action cube on their [grassland], cache 1 [wild] from the supply on any of your birds.;Valitse 1 muu pelaaja. Säilytä 1 [valinnainen] kutakin [pellolla] olevaa toimintakuutiota kohden minkä tahansa linnusi päällä.
Eurasian Nutcracker;Nucifraga caryocatactes;Choose 1-5 birds in your [forest]. Cache 1 [seed] from your supply on each.;Valitse [metsästäsi] 1-5 lintua. Tallenna 1 [siemen] varastostasi jokaiselle.
Eurasian Nuthatch;Sitta europaea;Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.;Hanki 1 [siemen] tarjonnasta ja tallenna se tälle kortille. Voit milloin tahansa kuluttaa [seed] tämän kortin päältä.
Eurasian Sparrowhawk;Accipiter nisus;For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.;Jokaista tämän linnun hinnassa olevaa [jyrsijää] kohden voit sen sijaan maksaa 1 [kortin] kädestäsi. Jos teet niin, työnnä maksettu [kortti] tämän kortin taakse.
Eurasian Tree Sparrow;Passer montanus;"When another player takes the ""gain food"" action, gain 1 [seed] from the birdfeeder at the end of their turn.";"Kun toinen pelaaja ottaa ""hanki ruokaa"" -toiminnon, saa 1 [siemen] lintujenruokintakoneesta vuoronsa lopussa."
European Bee-Eater;Merops apiaster;Reset the birdfeeder. If you do, gain 1 [invertebrate] from the birdfeeder after resetting.;Nollaa lintujen syöttölaite. Jos teet niin, hanki 1 [ötökkä] lintujenruokintalaitteesta nollauksen jälkeen.
European Goldfinch;Carduelis carduelis;When another player tucks a [card] for any reason, tuck 1 [card] from the deck behind this bird.;Kun toinen pelaaja työntää [kortin] mistä tahansa syystä, työnnä 1 [kortti] pakkasta tämän linnun taakse.
European Honey Buzzard;Pernis apivorus;Reset the birdfeeder. If you do, gain all [invertebrate] in the birdfeeder after resetting.;Nollaa lintujen syöttölaite. Jos teet niin, ota kaikki [ötökkä] lintusyöttölaitteeseen nollauksen jälkeen.
European Robin;Erithacus rubecula;From the supply, gain 1 food of a type you already gained this turn.;Hanki tarjonnasta 1 ruoka, jonka tyyppiä olet jo saanut tällä vuorollaan.
European Roller;Coracias garrulus;Place this bird sideways, so that it covers 2 [grassland] spaces. Pay the lower egg cost.;Aseta tämä lintu sivuttain niin, että se peittää 2 [pelto]-tilaa. Maksa alhaisemmat munakustannukset.
European Turtle Dove;Streptopelia turtur;Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder, lay 1 [egg] on any bird, or draw 1 [card].;Nosta 1 uusi bonuskortti. Ansaitse sitten 1 [noppa] lintujenruokintalaitteesta, muni 1 [muna] mille tahansa linnulle tai vedä 1 [kortti].
Ferruginous Hawk;Buteo regalis;Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos joku on [jyrsijä], tallenna 1 [jyrsijä] tämän linnun päälle.
Fish Crow;Corvus ossifragus;Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.;Hävitä 1 [muna] mistä tahansa muista linnuistasi saadaksesi 1 [valinnainen] tarjonnasta.
Forster's Tern;Sterna forsteri;Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.;Nosta 1 [kortti]. Jos teet niin, hävitä 1 [kortti] kädestäsi vuorosi lopussa.
Franklin's Gull;Leucophaeus pipixcan;Discard 1 [egg] to draw 2 [card].;Hävitä 1 [muna] ja nosta 2 [kortti].
Galah;Eolophus roseicapilla;Choose 1 other player. They reset the birdfeeder and gain a [seed], if there is one. You tuck 2 [card] from the deck behind this bird.;Valitse 1 muu pelaaja. He nollaavat lintujensyöttimen ja saavat [siemenen], jos sellainen on. Työnnät 2 [korttia] pakasta tämän linnun taakse.
Goldcrest;Regulus regulus;Discard 1 [card] from your hand. If you do, play another bird in your [forest]. Pay its normal food and egg cost.;Hävitä 1 [kortti] kädestäsi. Jos teet niin, pelaa toinen lintu [metsääsi]. Maksa normaalit ruoka- ja munakustannukset.
Golden Eagle;Aquila chrysaetos;Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 100 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Golden-Headed Cisticola;Cisticola exilis;Play another bird in your [grassland]. Pay its normal cost with a 1 [egg] discount.;Pelaa toinen lintu [pellollesi]. Maksa sen normaali hinta 1 [munan] alennuksella.
Gould's Finch;Erythrura gouldiae;"Play a bird. Pay its normal food and egg cost. If it has a ""when played"" or ""game end"" power, you may use it.";"Pelaa lintu. Maksa normaalit ruoka- ja munakustannukset. Jos sillä on ""kun pelataan"" tai ""pelin loppu"" -teho, voit käyttää sitä."
Grasshopper Sparrow;Ammodramus savannarum;Lay 1 [egg] on any bird.;Muni 1 [muna] mille tahansa linnulle.
Gray Catbird;Dumetella carolinensis;Repeat a brown power on another bird in this habitat.;Toista ruskea voima toisella linnulla tässä elinympäristössä.
Great Blue Heron;Ardea herodias;Play an additional bird in your [wetland]. Pay its normal cost.;Pelaa ylimääräinen lintu [kosteikollasi]. Maksa sen normaali hinta.
Great Crested Flycatcher;Myiarchus crinitus;Gain 1 [invertebrate] from the birdfeeder, if available.;Hanki 1 [ötökkä] lintujenruokintalaitteesta, jos saatavilla.
Great Crested Grebe;Podiceps cristatus;Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.;Nosta 1 [kortti] jokaista tämän rivin tyhjää korttipaikkaa kohti. Pidä vuorosi lopussa 1 ja hylkää loput.
Great Egret;Ardea alba;Play an additional bird in your [wetland]. Pay its normal cost.;Pelaa ylimääräinen lintu [kosteikollasi]. Maksa sen normaali hinta.
Great Horned Owl;Bubo virginianus;Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 100 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Great Tit;Parus major;Reset the birdfeeder. If you do, gain 1 [die] from the birdfeeder after resetting.;Nollaa lintujen syöttölaite. Jos teet niin, saat 1 [nopan] lintujensyöttimestä nollauksen jälkeen.
Greater Flamingo;Phoenicopterus roseus;Choose 1 other player. For each action cube on their [wetland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].;Valitse 1 muu pelaaja. Työnnä jokaista [kosteikolla] olevaa toimintakuutiota kohden 1 [kortti] kädestäsi tämän linnun taakse ja nosta sitten yhtä monta [korttia].
Greater Prairie-Chicken;Tympanuchus cupido;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Greater Roadrunner;Geococcyx californianus;Look at a [card] from the deck. If less than 50cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 50 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Green Heron;Butorides virescens;Trade 1 [wild] for any other type from the supply.;Vaihda 1 [valinnainen] mihin tahansa muuhun tarjonnasta.
Green Pygmy-Goose;Nettapus pulchellus;Draw 2 [card] from the deck. Keep 1 and give the other to another player.;Nosta 2 [korttia] pakasta. Pidä 1 ja anna toinen toiselle pelaajalle.
Grey Butcherbird;Cracticus torquatus;Look at a [card] from the deck. If its wingspan is less than 40cm, tuck it behind this bird and cache 1 [rodent] from the supply on this bird. If not, discard it.;Katso [korttia] pakasta. Jos sen siipien kärkiväli on alle 40 cm, työnnä se tämän linnun taakse ja säilytä 1 [jyrsijä] tämän linnun varastoon. Jos ei, hävitä se.
Grey Heron;Ardea cinerea;Place this bird sideways, so that it covers 2 [wetland] spaces. Pay the lower egg cost.;Aseta tämä lintu sivuttain niin, että se peittää 2 [kosteikko]-tilaa. Maksa alhaisemmat munakustannukset.
Grey Shrikethrush;Colluricincla harmonica;Reset the birdfeeder and gain all [rodent], if there are any. You may cache any or all of them on this bird.;Nollaa lintujensyöttölaite ja ota kaikki [jyrsijät], jos niitä on. Voit tallentaa minkä tahansa tai kaikki niistä tälle linnulle.
Grey Teal;Anas gracilis;Look at 3 [card] from the deck. Keep 1 [wetland] bird, if there is one. You may add it to your hand or tuck it behind this bird. Discard the other cards.;Katso 3 [korttia] pakasta. Pidä yksi [kosteikko] lintu, jos sellainen on. Voit lisätä sen käteesi tai työntää sen tämän linnun taakse. Hävitä muut kortit.
Grey Warbler;Gerygone igata;Play another bird in your [forest]. Pay its normal cost with a 1 [egg] discount.;Pelaa toinen lintu [metsääsi]. Maksa sen normaali hinta 1 [munan] alennuksella.
Grey-Headed Mannikin;Lonchura caniceps;"Play a bird. Pay its normal food cost, but ignore 1 [egg] in its egg cost. If it has a ""when played"" or ""game end"" power, you may use it.";"Pelaa lintu. Maksa normaalit ruokakulut, mutta jätä yksi [muna] huomioimatta munan hinnassa. Jos sillä on ""kun pelataan"" tai ""pelin loppu"" -teho, voit käyttää sitä."
Greylag Goose;Anser anser;This bird counts double toward the end-of-round goal, if it qualifies for the goal.;Tämä lintu lasketaan kaksinkertaisesti kierroksen lopun maaliin, jos se pätee maaliin.
Griffon Vulture;Gyps fulvus;Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.;Valitse yksi pelaaja (mukaan lukien itsesi). Tallenna tämän linnun varastoon 1 [jyrsijä] jokaista pelaajalla olevaa [petoeläintä] kohti.
Hawfinch;Coccothraustes coccothraustes;Reset the birdfeeder. If you do, gain 1 [seed] from the birdfeeder after resetting.;Nollaa lintujen syöttölaite. Jos teet niin, ota 1 [siemen] lintusyöttölaitteesta nollauksen jälkeen.
Hermit Thrush;Catharus guttatus;Player(s) with the fewest birds in their [forest] gain 1 [die] from birdfeeder.;Pelaajat, joilla on vähiten lintuja [metsässään], saavat 1 [nopan] linnunruokintasta.
Hooded Crow;Corvus cornix;Choose 1 other player. For each action cube on their [grassland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].;Valitse 1 muu pelaaja. Työnnä 1 [kortti] kädestäsi tämän linnun taakse kutakin [pellolla] olevaa toimintakuutiota kohden ja vedä sitten yhtä monta [korttia].
Hooded Merganser;Lophodytes cucullatus;Repeat 1 [predator] power in this habitat.;Toista 1 [petoeläin] voima tässä elinympäristössä.
Hooded Warbler;Setophaga citrina;;-
Horned Lark;Eremophila alpestris;When another player plays a bird in their [grassland], tuck 1 [card] from your hand behind this bird.;Kun toinen pelaaja pelaa lintua omalla [pellollaan], työnnä 1 [kortti] kädestäsi tämän linnun taakse.
Horsfield's Bronze-Cuckoo;Chrysococcyx basalis;"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a wingspan less than 30cm.";"Kun toinen pelaaja tekee ""muninta"" -toiminnon, muni 1 [muna] linnulle, jonka siipien kärkiväli on alle 30 cm."
Horsfield's Bushlark;Mirafra javanica;Discard 1 [seed]. If you do, lay up to 2 [egg] on this bird.;Hävitä 1 [siemen]. Jos teet niin, muni enintään 2 [munaa] tälle linnulle.
House Finch;Haemorhous mexicanus;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
House Sparrow;Passer domesticus;Discard up to 5 [seed] from your supply. For each, tuck 1 [card] from the deck behind this bird.;Hävitä enintään 5 [siementä] varastostasi. Työnnä jokaista kohden 1 [kortti] pakasta tämän linnun taakse.
House Wren;Troglodytes aedon;Play an additional bird in this bird's habitat. Pay its normal cost.;Pelaa ylimääräinen lintu tämän linnun elinympäristöön. Maksa sen normaali hinta.
Inca Dove;Columbina inca;Lay 1 [egg] on each of your birds with a [platform] nest.;Muni 1 [muna] jokaiselle linnullesi [risu]pesällä.
Indian Peafowl;Pavo cristatus;All players draw 2 [card] from the deck. You draw 1 additional [card].;Kaikki pelaajat nostavat 2 [korttia] pakasta. Nostat vielä 1 [kortin].
Indigo Bunting;Passerina cyanea;Gain 1 [invertebrate] or [fruit] from the birdfeeder, if available.;Hanki 1 [ötökkä] tai [hedelmä] lintujen ruokintakoneesta, jos saatavilla.
Juniper Titmouse;Baeolophus ridgwayi;Cache 1 [seed] from the supply on this bird.;Tallenna 1 [siemen] tämän linnun päälle.
K?k?p??;Strigops habroptila;Draw 4 bonus cards, keep 1, and discard the other 3.;Nosta 4 bonuskorttia, pidä yksi ja hylkää muut 3.
Kea;Nestor notabilis;Draw 1 bonus card. You may discard any number of [wild] to draw that many additional bonus cards. Keep 1 of the cards you drew and discard the rest.;Nosta 1 bonuskortti. Voit hylätä minkä tahansa määrän [valinnaisia] nostaaksesi niin monta lisäbonuskorttia. Pidä yksi nostamistasi korteista ja hävitä loput.
Kelp Gull;Larus dominicanus;Discard any number of [wild] to draw that many [card].;Hylkää mikä tahansa määrä [valinnaisia] nostaaksesi niin monta [korttia].
Kerer?;Hemiphaga novaeseelandiae;If the player to your left has a [nectar] in their personal supply, gain 1 [nectar] from the general supply.;Jos vasemmalla olevalla pelaajalla on [nektari] henkilökohtaisessa varustessaan, hanki 1 [nektari] yleisestä varusteesta.
Killdeer;Charadrius vociferus;Discard 1 [egg] to draw 2 [card].;Hävitä 1 [muna] ja nosta 2 [kortti].
King Rail;Rallus elegans;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Korimako;Anthornis melanura;Discard any number of [rodent] to gain that many [nectar] from the supply.;Hävitä mikä tahansa määrä [jyrsijöitä] saadaksesi niin monta [nektaria].
Laughing Kookaburra;Dacelo novaeguineae;Reset the birdfeeder. If you do, gain 1 [invertebrate], [fish], or [rodent], if there is one.;Nollaa lintujen syöttölaite. Jos teet niin, hanki yksi [ötökkä], [kala] tai [jyrsijä], jos sellainen on.
Lazuli Bunting;Passerina amoena;All players lay 1 [egg] on any 1 [bowl] bird. You may lay 1 [egg] on 1 additional [bowl] bird.;Kaikki pelaajat munivat 1 [munan] mille tahansa [kulho]pesäiselle linnulle. Voit munia 1 [munan] 1 ylimääräiselle [kulho] linnulle.
Lesser Frigatebird;Fregata ariel;All players may discard 1 [egg] from a [wetland] bird. Each player that discards an [egg] gains 1 [wild] from the supply.;Kaikki pelaajat voivat hylätä 1 [munan] [kosteikolla] linnulta. Jokainen pelaaja, joka hylkää [munan], saa 1 [valinnaisen] tarjonnasta.
Lesser Whitethroat;Sylvia curruca;Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.;Valitse elinympäristö, jossa ei ole [munaa]. Muni 1 [muna] jokaiselle kyseisessä elinympäristössä olevalle linnulle.
Lewin's Honeyeater;Meliphaga lewinii;Choose 1 other player. You both gain 1 [nectar] from the supply.;Valitse 1 muu pelaaja. Saatte molemmat 1 [nektarin] tarjonnasta.
Lincoln's Sparrow;Melospiza lincolnii;If this bird is to the right of all other birds in its habitat, move it to another habitat.;Jos tämä lintu on kaikkien muiden lintujen oikealla puolella sen elinympäristössä, siirrä se toiseen elinympäristöön.
Little Bustard;Tetrax tetrax;Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.;Nosta 1 uusi bonuskortti. Hanki sitten 1 [kortti] tai muni 1 [muna] mille tahansa linnulle.
Little Owl;Athene noctua;Steal 1 [rodent] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.;Varasta 1 [jyrsijä] toisen pelaajan varastosta ja tallenna se tälle linnulle. He saavat 1 [nopan] lintujen ruokintakoneesta.
Little Penguin;Eudyptula minor;Draw and discard 5 [card] from the deck. For each [fish] in their food costs, cache 1 [fish] from the supply on this bird.;Nosta ja hävitä 5 [korttia] pakasta. Varaa kutakin ruokamaksua, joka on [kala], kohden tämän linnun päälle 1 [kala].
Little Pied Cormorant;Microcarbo melanoleucos;Lay 1 [egg] on each of your birds with a [platform] nest, including this one.;Muni 1 [muna] jokaiselle linnullesi, jolla on [risu]pesä, mukaan lukien tämä.
Loggerhead Shrike;Lanius ludovicianus;"When another player takes the ""gain food"" action, if they gain any number of [rodent], cache 1 [rodent] from the supply on this bird.";"Kun toinen pelaaja tekee ""hanki ruokaa"" -toiminnon, jos hän saa minkä tahansa määrän [jyrsijöitä], tallenna 1 [jyrsijä] tämän linnun päälle."
Long-Tailed Tit;Aegithalos caudatus;Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.;Aseta tämä lintu sivuttain niin, että se peittää 2 [metsä] tilaa. Maksa alhaisemmat munakustannukset.
Magpie-Lark;Grallina cyanoleuca;"Discard 2 [egg] from your [forest]. If you do, play 1 bird in your [grassland] at its normal food cost (ignore its egg cost). If it has a ""when played"" or ""game end"" power, you may use it.";"Hävitä 2 [munaa] [metsästäsi]. Jos teet niin, pelaa 1 lintu [pellollesi] sen normaalilla ruokahinnalla (jätä huomioimatta sen munahinta). Jos sillä on ""kun pelataan"" tai ""pelin loppu"" -teho, voit käyttää sitä."
Major Mitchell's Cockatoo;Lophochroa leadbeateri;Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [seed] from the supply.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, kaikki pelaajat saavat 1 [siemen] tarjonnasta.
Mallard;Anas platyrhynchos;Draw 1 [card].;Nosta 1 [kortti].
Malleefowl;Leipoa ocellata;Lay 1 [egg] on each of your birds with a [ground] nest, including this one.;Muni 1 [muna] jokaiselle linnullesi, jolla on [maa]pesä, mukaan lukien tämä.
Maned Duck;Chenonetta jubata;Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], gain 1 [seed] from the supply.;Työnnä jopa 3 [korttia] kädestäsi tämän linnun taakse. Jos työnnät vähintään 1 [kortin], saat 1 [siemen] tarjonnasta.
Many-Colored Fruit-Dove;Ptilinopus perousii;All players gain 1 [fruit] from the supply. You gain 1 additional [fruit] from the supply.;Kaikki pelaajat saavat 1 [hedelmä] tarjonnasta. Saat 1 ylimääräisen [hedelmän] tarjonnasta.
Masked Lapwing;Vanellus miles;Reset the birdfeeder, then, for each type of food in the birdfeeder, gain 1 of that type.;Nollaa lintujenruokinta ja sitten kutakin linnunruokintalaitteessa olevaa ruokaa kohden ota 1 kyseistä tyyppiä.
Mississippi Kite;Ictinia mississippiensis;Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos joku on [jyrsijä], tallenna 1 [jyrsijä] tämän linnun päälle.
Mistletoebird;Dicaeum hirundinaceum;Gain 1 [fruit] from the supply, or discard 1 [fruit] to gain 1 [nectar] from the supply.;Hanki 1 [hedelmä] tarjonnasta tai hävitä 1 [hedelmä] saadaksesi 1 [nektari] tarjonnasta.
Moltoni's Warbler;Sylvia subalpina;If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.;Jos käytit kaikkia neljää toimintatyyppiä tällä kierroksella, pelaa toinen lintu. Maksa normaalit ruoka- ja munakustannukset.
Montagu's Harrier;Circus pygargus;Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.;Sen sijaan, että maksat mitään, voit pelata tämän linnun toisen linnun päälle pelaajamatollasi. Hävitä linnun munat ja ruoka. Siitä tulee piilotettu kortti.
Mountain Bluebird;Sialia currucoides;Play an additional bird in your [grassland]. Pay its normal cost.;Pelaa ylimääräinen lintu [pellollesi]. Maksa sen normaali hinta.
Mountain Chickadee;Poecile gambeli;Cache 1 [seed] from the supply on this bird.;Tallenna 1 [siemen] tämän linnun päälle.
Mourning Dove;Zenaida macroura;Lay 1 [egg] on this bird.;Muni 1 [muna] tälle linnulle.
Musk Duck;Biziura lobata;Draw 1 face-up [card] from the tray with a [ground] or [star] nest. You may reset or refill the tray before doing so.;Nosta 1 kuvapuoli ylöspäin [kortti] alustalta, jossa on [maa]- tai [tähti]-pesä. Voit nollata tai täyttää lokeron ennen kuin teet niin.
Mute Swan;Cygnus olor;Choose 1-3 birds in your [wetland]. Tuck 1 [card] from your hand behind each. If you tuck at least 1 card, draw 1 [card].;Valitse [kosteikollasi] 1-3 lintua. Työnnä 1 [kortti] kädestäsi jokaisen taakse. Jos työnnät vähintään yhden kortin, nosta 1 [kortti].
New Holland Honeyeater;Phylidonyris novaehollandiae;Gain 1 [nectar] from the birdfeeder, if there is one.;Hanki 1 [nektari] lintujenruokintalaitteesta, jos sellainen on.
Noisy Miner;Manorina melanocephala;Tuck 1 [card] from your hand behind this bird. If you do, lay up to 2 [egg] on this bird. All other players may lay 1 [egg].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, muni enintään 2 [munaa] tälle linnulle. Kaikki muut pelaajat voivat munia 1 [munan].
North Island Brown Kiwi;Apteryx mantelli;Discard a bonus card. If you do, draw 4 bonus cards, keep 2, and discard the other 2.;Hylkää bonuskortti. Jos teet niin, nosta 4 bonuskorttia, pidä 2 ja hylkää muut 2.
Northern Bobwhite;Colinus virginianus;Lay 1 [egg] on this bird.;Muni 1 [muna] tälle linnulle.
Northern Cardinal;Cardinalis cardinalis;Gain 1 [fruit] from the supply.;Hanki 1 [hedelmä] tarjonnasta.
Northern Flicker;Colaptes auratus;Gain all [invertebrate] that are in the birdfeeder.;Hanki kaikki [ötökät], jotka ovat lintujen ruokintalaitteessa.
Northern Gannet;Morus bassanus;Roll all dice not in birdfeeder. If any are a [fish], gain that many [fish] from the supply and cache them on this bird.;Pyöritä kaikkia noppia, jtoka eivät ole linnunsyöttölaitteessa. Jos joku on [kala], hanki niin monta [kalaa] tarjonnasta ja tallenna ne tälle linnulle.
