Common name;Scientific name;Power text;PT Suomeksi
Northern Goshawk;Accipiter gentilis;For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.;Jokaista tämän linnun hinnassa olevaa [jyrsijää] kohden voit sen sijaan maksaa 1 [kortin] kädestäsi. Jos teet niin, työnnä maksettu [kortti] tämän kortin taakse.
Northern Harrier;Circus hudsonius;Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 75 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Northern Mockingbird;Mimus polyglottos;Repeat a brown power on another bird in this habitat.;Toista ruskea voima toiselle linnulle tässä elinympäristössä.
Northern Shoveler;Spatula clypeata;All players draw 1 [card] from the deck.;Kaikki pelaajat nostavat 1 [kortin] pakasta.
Orange-Footed Scrubfowl;Megapodius reinwardt;Lay 1 [egg] on each of your birds with a [ground] nest, including this one.;Muni 1 [muna] jokaiselle linnullesi, jolla on [maa]pesä, mukaan lukien tämä.
Osprey;Pandion haliaetus;All players gain 1 [fish] from the supply.;Kaikki pelaajat saavat 1 [kala] tarjonnasta.
Pacific Black Duck;Anas superciliosa;For every 2 [egg] in your [wetland], lay 1 [egg] on this bird.;Jokaista [kosteikollasi] olevaa [munaa] kohden muni 1 [muna] tälle linnulle.
Painted Bunting;Passerina ciris;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Painted Whitestart;Myioborus pictus;Gain 1 [invertebrate] from the supply.;Hanki 1 [ötökkä] tarjonnasta.
Parrot Crossbill;Loxia pytyopsittacus;Remove any 1 [die] from the birdfeeder, then gain 1 [seed] from the supply.;Poista 1 [noppa] linnunruokintalaitteesta ja hanki sitten 1 [siemen] tarjonnasta.
Peaceful Dove;Geopelia placida;Discard any number of [seed]. Lay 1 [egg] on this bird for each discarded [seed].;Hävitä mikä tahansa määrä [siemeniä]. Muni 1 [muna] tälle linnulle jokaista hylättyä [siementä] kohden.
Peregrine Falcon;Falco peregrinus;Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 100 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Pesquet's Parrot;Psittrichas fulgidus;If the player to your right has a [nectar] in their personal supply, gain 1 [nectar] from the general supply.;Jos oikeallasi olevalla pelaajalla on [nektari] henkilökohtaisessa varustessaan, hanki 1 [nektari] yleisestä varusteesta.
Pheasant Coucal;Centropus phasianinus;"When another player takes the ""lay eggs"" action, lay 1 [egg] on this bird.";"Kun toinen pelaaja tekee ""muninta"", muni 1 [muna] tälle linnulle."
Pied-Billed Grebe;Podilymbus podiceps;Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.;Nosta 2 [kortti]. Jos teet niin, hävitä 1 [kortti] kädestäsi vuorosi lopussa.
Pileated Woodpecker;Dryocopus pileatus;All players lay 1 [egg] on any 1 [cavity] bird. You may lay 1 [egg] on 1 additional [cavity] bird.;Kaikki pelaajat munivat 1 [munan] minkä tahansa 1 [kolo]pesä linnun päälle. Voit munia 1 [munan] 1 ylimääräiselle [kolo] linnulle.
Pine Siskin;Spinus pinus;Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, hanki 1 [siemen] tarjonnasta.
Pink-Eared Duck;Malacorhynchus membranaceus;Draw 2 [card] from the deck. Keep 1 and give the other to another player.;Nosta 2 [korttia] pakasta. Pidä 1 ja anna toinen toiselle pelaajalle.
Plains-Wanderer;Pedionomus torquatus;Draw 1 bonus card for each bird in your [grassland]. Keep 1 and discard the rest.;Nosta 1 bonuskortti jokaista lintua kohden [pellollasi]. Säilytä 1 ja hävitä loput.
Princess Stephanie's Astrapia;Astrapia stephaniae;Choose 1 other player. You both lay 1 [egg].;Valitse 1 muu pelaaja. Te molemmat munitte 1 [munan].
Prothonotary Warbler;Protonotaria citrea;;-
P?keko;Porphyrio melanotus;Lay 1 [egg] on an adjacent bird.;Muni 1 [muna] viereiselle linnulle.
Purple Gallinule;Porphyrio martinicus;All players draw 1 [card] from the deck.;Kaikki pelaajat nostavat 1 [kortin] pakasta.
Purple Martin;Progne subis;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
Pygmy Nuthatch;Sitta pygmaea;Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [invertebrate] or [seed] from the supply.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, hanki 1 [ötökkä] tai [siemen] tarjonnasta.
Rainbow Lorikeet;Trichoglossus moluccanus;"Discard 1 [nectar] to the ""spent nectar"" space for your [forest]. If you do, gain 2 [die] from the birdfeeder.";"Hävitä 1 [nektari] [metsäsi] ""käytetty nektari"" -tilaan. Jos teet niin, saat 2 [kuolemaa] lintujen ruokintalaitteesta."
Red Crossbill;Loxia curvirostra;All players gain 1 [seed] from the supply.;Kaikki pelaajat saavat 1 [siemen] tarjonnasta.
Red Kite;Milvus milvus;Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.;Sen sijaan, että maksat mitään, voit pelata tätä lintua toisen linnun päällä pelaajamatollasi. Hävitä linnun munat ja ruoka. Siitä tulee piilotettu kortti.
Red Knot;Calidris canutus;Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.;Nosta 1 uusi bonuskortti. Nosta sitten 3 [korttia] ja pidä niistä yksi.
Red Wattlebird;Anthochaera carunculata;Gain 1 [nectar] from the supply for each bird with a wingspan less than 49cm in your [forest].;Ansaitse 1 [nektari] jokaisesta [metsässäsi] olevasta linnusta, jonka siipien kärkiväli on alle 49 cm.
Red-Backed Fairywren;Malurus melanocephalus;Lay 1 [egg] on each of your birds with a [star] nest, including this one.;Muni 1 [muna] jokaiselle linnullesi, jolla on [tähti]pesä, mukaan lukien tämä.
Red-Backed Shrike;Lanius collurio;Steal 1 [invertebrate] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.;Varasta 1 [ötökkä] toisen pelaajan varastosta ja tallenna se tälle linnulle. He saavat 1 [nopan] lintujen ruokintakoneesta.
Red-Bellied Woodpecker;Melanerpes carolinus;Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.;Hanki 1 [siemen] lintujenruokintalaitteesta, jos saatavilla. Voit tallentaa sen tälle linnulle.
Red-Breasted Merganser;Mergus serrator;Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.;Nosta 2 [kortti]. Jos teet niin, hävitä 1 [kortti] kädestäsi vuorosi lopussa.
Red-Breasted Nuthatch;Sitta canadensis;Cache 1 [seed] from the supply on this bird.;Tallenna 1 [siemen] tämän linnun päälle.
Red-Capped Robin;Petroica goodenovii;If the player to your left has an [invertebrate] in their personal supply, gain 1 [invertebrate] from the general supply.;Jos vasemmalla olevalla pelaajalla on [ötökkä] henkilökohtaisessa varastossaan, hanki 1 [ötökkä] yleisestä varastosta.
Red-Cockaded Woodpecker;Picoides borealis;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Red-Eyed Vireo;Vireo olivaceus;Play an additional bird in your [forest]. Pay its normal cost.;Pelaa ylimääräinen lintu [metsääsi]. Maksa sen normaali hinta.
Red-Headed Woodpecker;Melanerpes erythrocephalus;Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.;Hanki 1 [siemen] lintujenruokintalaitteesta, jos saatavilla. Voit tallentaa sen tälle linnulle.
Red-Legged Partridge;Alectoris rufa;Lay 1 [egg] on each bird in this column, including this one.;Muni 1 [muna] jokaiselle tämän sarakkeen linnulle, mukaan lukien tämä.
Red-Necked Avocet;Recurvirostra novaehollandiae;If the player to your left or right has an [invertebrate] in their personal supply, gain 1 [invertebrate] from the general supply.;Jos vasemmalla tai oikealla olevalla pelaajalla on [ötökkä] henkilökohtaisessa varastossaan, hanki 1 [ötökkä] yleisestä varastosta.
Red-Shouldered Hawk;Buteo lineatus;Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 75 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Red-Tailed Hawk;Buteo jamaicensis;Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 75 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Red-Winged Blackbird;Agelaius phoeniceus;Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, voit myös munia 1 [munan] tälle linnulle.
Red-Winged Parrot;Aprosmictus erythropterus;Give 1 [nectar] from your supply to another player. If you do, lay 2 [egg] on this bird or gain 2 [die] from the birdfeeder.;Anna 1 [nektari] varastostasi toiselle pelaajalle. Jos teet niin, muni 2 [munaa] tälle linnulle tai hanki 2 [kuolemaa] linnunruokintalaitteesta.
Regent Bowerbird;Sericulus chrysocephalus;Choose 1 other player. You both gain 1 [invertebrate] from the supply.;Valitse 1 muu pelaaja. Saatte molemmat 1 [ötökän] tarjonnasta.
Ring-Billed Gull;Larus delawarensis;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
Rose-Breasted Grosbeak;Pheucticus ludovicianus;Gain 1 [seed] or [fruit] from the birdfeeder, if available.;Hanki 1 [siemen] tai [hedelmä] lintujen ruokintakoneesta, jos saatavilla.
Roseate Spoonbill;Platalea ajaja;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Royal Spoonbill;Platalea regia;Draw 1 face-up [card] from the tray with a [platform] or [star] nest. You may reset or refill the tray before doing so.;Nosta 1 kuvapuoli ylöspäin [kortti] alustalta, jossa on [risu] tai [tähti]. Voit nollata tai täyttää lokeron ennen kuin teet niin.
Ruby-Crowned Kinglet;Regulus calendula;Play an additional bird in your [forest]. Pay its normal cost.;Pelaa ylimääräinen lintu [metsääsi]. Maksa sen normaali hinta.
Ruby-Throated Hummingbird;Archilochus colubris;Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.;Jokainen pelaaja saa 1 [nopan] linnunruokintalaitteesta alkaen valitsemastasi pelaajasta.
Ruddy Duck;Oxyura jamaicensis;Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.;Nosta 2 [kortti]. Jos teet niin, hävitä 1 [kortti] kädestäsi vuorosi lopussa.
Ruff;Calidris pugnax;Tuck up to 3 [card] from your hand behind this bird. Draw 1 [card] for each card you tucked.;Työnnä jopa 3 [korttia] kädestäsi tämän linnun taakse. Nosta 1 [kortti] jokaisesta nostamastasi kortista.
Rufous Night-Heron;Nycticorax caledonicus;Look at a [card] from the deck. If it can live in [wetland], tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos se voi elää [kosteikolla], työnnä se tämän linnun taakse. Jos ei, hävitä se.
Rufous Owl;Ninox rufa;Draw 1 face-up [card] from the tray with a wingspan less than 75cm and tuck it behind this bird.;Vedä alustalta yksi kuvapuoli ylöspäin [kortti], jonka siipien kärkiväli on alle 75 cm, ja työnnä se tämän linnun taakse.
Rufous-Banded Honeyeater;Conopophila albogularis;Discard 1 [invertebrate]. If you do, gain 1 [nectar] from the supply.;Hävitä 1 [ötökkä]. Jos teet niin, saat 1 [nektari] tarjonnasta.
Sacred Kingfisher;Todiramphus sanctus;"When another player takes the ""gain food"" action, gain 1 [invertebrate], [fish], or [rodent] from the birdfeeder, if there is one, at the end of their turn.";"Kun toinen pelaaja tekee ""hanki ruokaa"" -toiminnon, saa vuoronsa lopussa 1 [ötökkä], [kala] tai [jyrsijä] linnunruokintalaitteesta, jos sellainen on."
Sandhill Crane;Antigone canadensis;Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.;Hävitä 1 [siemen] ja työnnä 2 [korttia] pakasta tämän linnun taakse.
Savannah Sparrow;Passerculus sandwichensis;Play an additional bird in your [grassland]. Pay its normal cost.;Pelaa ylimääräinen lintu [pellollesi]. Maksa sen normaali hinta.
Savi's Warbler;Locustella luscinioides;Draw 2 [card]. All other players draw 1 [card] from the deck.;Nosta 2 [kortti]. Kaikki muut pelaajat nostavat 1 [kortin] pakasta.
Say's Phoebe;Sayornis saya;Lay 1 [egg] on each of your birds with a [bowl] nest.;Muni 1 [muna] jokaiselle linnullesi [kulho]pesällä.
Scaled Quail;Callipepla squamata;Lay 1 [egg] on this bird.;Muni 1 [muna] tälle linnulle.
Scissor-Tailed Flycatcher;Tyrannus forficatus;All players gain 1 [invertebrate] from the supply.;Kaikki pelaajat saavat 1 [ötökän] tarjouksesta.
Short-Toed Treecreeper;Certhia brachydactyla;Discard 1 [egg] from any bird. If you do, play another bird in your [forest]. Pay its normal food and egg cost.;Hävitä 1 [muna] mistä tahansa linnusta. Jos teet niin, pelaa toinen lintu [metsääsi]. Maksa normaalit ruoka- ja munakustannukset.
Silvereye;Zosterops lateralis;All players gain 1 [nectar] from the supply.;Kaikki pelaajat saavat 1 [nektarin] tarjonnasta.
Snow Bunting;Plectrophenax nivalis;When another player tucks a [card] for any reason, tuck 1 [card] from your hand behind this bird, then draw 1 [card] at the end of their turn.;Kun toinen pelaaja työntää [kortin] mistä tahansa syystä, työnnä 1 [kortti] kädestäsi tämän linnun taakse ja nosta sitten 1 [kortti] hänen vuoronsa lopussa.
Snowy Egret;Egretta thula;Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos ne ovat [kaloja], säilytä 1 [kala] tämän linnun päällä.
Snowy Owl;Bubo scandiacus;Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.;Nosta 1 uusi bonuskortti. Hanki sitten 1 [kortti] tai muni 1 [muna] mille tahansa linnulle.
Song Sparrow;Melospiza melodia;If this bird is to the right of all other birds in its habitat, move it to another habitat.;Jos tämä lintu on kaikkien muiden lintujen oikealla puolella sen elinympäristössä, siirrä se toiseen elinympäristöön.
South Island Robin;Petroica australis;If the player to your right has an [invertebrate] in their supply, cache 1 [invertebrate] from the general supply on this bird.;Jos oikealla puolellasi olevalla pelaajalla on [ötökkä], tallenna tämän linnun päälle yleisvarastosta 1 [ötökkä].
Southern Cassowary;Casuarius casuarius;Discard a bird from your [forest] and put this bird in its place (do not pay an egg cost). If you do, lay 4 [egg] on this bird and gain 2 [fruit] from the supply.;Hävitä lintu [metsästäsi] ja aseta tämä lintu paikalleen (älä maksa munamaksua). Jos teet niin, muni 4 [munaa] tälle linnulle ja hanki 2 [hedelmää] tarjonnasta.
Spangled Drongo;Dicrurus bracteatus;When another player gains [nectar], gain 1 [nectar] from the supply.;Kun toinen pelaaja saa [nektaria], saa 1 [nektari] tarjouksesta.
Splendid Fairywren;Malurus splendens;Lay 1 [egg] on each of your birds with a wingspan less than 30cm, including this one.;Muni yksi [muna] jokaiselle linnullesi, jonka siipien kärkiväli on alle 30 cm, tämä mukaan lukien.
Spotless Crake;Zapornia tabuensis;Lay 1 [egg] on each bird in your [wetland], including this one.;Muni 1 [muna] jokaiselle [kosteikollasi] olevalle linnulle, mukaan lukien tämä.
Spotted Owl;Strix occidentalis;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Spotted Sandpiper;Actitis macularius;All players draw 1 [card] from the deck.;Kaikki pelaajat nostavat 1 [kortin] pakasta.
Spotted Towhee;Pipilo maculatus;Gain 1 [seed] from the supply.;Hanki 1 [siemen] tarjonnasta.
Sprague's Pipit;Anthus spragueii;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Squacco Heron;Ardeola ralloides;Gain 1 face-up [card] that can live in [wetland].;Ansaitse yksi kuvapuoli ylöspäin [kortti], joka voi asua [kosteikolla].
Steller's Jay;Cyanocitta stelleri;Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.;Hanki 1 [siemen] lintujenruokintalaitteesta, jos saatavilla. Voit tallentaa sen tälle linnulle.
Stubble Quail;Coturnix pectoralis;Discard up to 6 [wild]. Lay 1 [egg] on this bird for each discarded food.;Hävitä enintään 6 [valinnainen]. Muni 1 [muna] tälle linnulle jokaista poisheitettyä ruokaa kohden.
Sulphur-Crested Cockatoo;Cacatua galerita;Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [nectar] from the supply.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, kaikki pelaajat saavat 1 [nektarin] tarjonnasta.
Superb Lyrebird;Menura novaehollandiae;Copy a brown power on one bird in the [forest] of the player to your right.;Kopioi ruskea voima yhdeltä linnulta oikealla olevan pelaajan [metsässä].
Swainson's Hawk;Buteo swainsoni;Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 75 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Tawny Frogmouth;Podargus strigoides;Reset the birdfeeder. Cache 1 [invertebrate] or [rodent] from the birdfeeder (if available) on this bird.;Nollaa lintujen syöttölaite. Ota lintujen ruokintalaitteesta (jos saatavilla) 1 [ötökkä] tai [jyrsijä].
Thekla's Lark;Galerida theklae;Discard 1 [seed] from your supply. If you do, lay 2 [egg] on this bird.;Hävitä 1 [siemen] varastostasi. Jos teet niin, muni 2 [munaa] tälle linnulle.
Tree Swallow;Tachycineta bicolor;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
Trumpeter Swan;Cygnus buccinator;;-
Tufted Titmouse;Baeolophus bicolor;Play an additional bird in your [forest]. Pay its normal cost.;Pelaa ylimääräinen lintu [metsääsi]. Maksa sen normaali hinta.
T??;Prosthemadera novaeseelandiae;Copy a brown power on one bird in the [forest] of the player to your left.;Kopioi ruskea voima yhdeltä linnulta vasemmalla olevan pelaajan [metsässä].
Turkey Vulture;Cathartes aura;When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.;Kun toisen pelaajan [petoeläin] onnistuu, saa 1 [noppa] linnunruokintalaitteesta.
Vaux's Swift;Chaetura vauxi;Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [invertebrate] from the supply.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, hanki 1 [ötökkä] tarjonnasta.
Violet-Green Swallow;Tachycineta thalassina;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
Wedge-Tailed Eagle;Aquila audax;Look at a [card] from the deck. If its wingspan is over 65cm, tuck it behind this bird and cache 1 [rodent] from the supply on this bird. If not, discard it.;Katso [korttia] pakasta. Jos sen siipien kärkiväli on yli 65 cm, työnnä se tämän linnun taakse ja säilö 1 [jyrsijä] tämän linnun päälle. Jos ei, hävitä se.
Welcome Swallow;Hirundo neoxena;Tuck 1 [card] from the deck behind each bird in this habitat, including this bird.;Työnnä 1 [kortti] pakasta jokaisen tämän elinympäristön linnun taakse, mukaan lukien tämä lintu.
Western Meadowlark;Sturnella neglecta;All players lay 1 [egg] on any 1 [ground] bird. You may lay 1 [egg] on 1 additional [ground] bird.;Kaikki pelaajat munivat 1 [munan] mille tahansa [maa] linnulle. Voit munia 1 [munan] 1 ylimääräiselle [maa] linnulle.
Western Tanager;Piranga ludoviciana;Gain 1 [invertebrate] or [fruit] from the birdfeeder, if available.;Hanki 1 [ötökkä] tai [hedelmä] lintujen ruokintakoneesta, jos saatavilla.
White Stork;Ciconia ciconia;Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].;Hävitä kaikki jäljellä oleva kuvapuoli ylöspäin [kortti] ja täytä lokero uudelleen. Jos teet niin, nosta yksi uudesta kuvapuoli ylöspäin [kortista].
White Wagtail;Motacilla alba;If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.;Jos käytit kaikkia neljää toimintatyyppiä tällä kierroksella, pelaa toinen lintu. Maksa normaalit ruoka- ja munakustannukset.
White-Backed Woodpecker;Dendrocopos leucotos;Gain 1 [die] from the birdfeeder.;Ansaitse 1 [noppa] lintujen ruokintalaitteesta.
White-Bellied Sea-Eagle;Haliaeetus leucogaster;Reset the birdfeeder. Gain 1 [fish] or 1 [rodent] from the birdfeeder, if there is one, and cache it on this bird.;Nollaa lintujen syöttölaite. Hanki 1 [kala] tai 1 [jyrsijä] lintujenruokintalaitteesta, jos sellainen on, ja tallenna se tälle linnulle.
White-Breasted Nuthatch;Sitta carolinensis;Cache 1 [seed] from the supply on this bird.;Tallenna 1 [siemen] tämän linnun päälle.
White-Breasted Woodswallow;Artamus leucoryn;Lay 1 [egg] on each bird in your [grassland], including this one.;Muni 1 [muna] jokaiselle [pellollasi] olevalle linnulle, mukaan lukien tämä.
White-Crowned Sparrow;Zonotrichia leucophrys;If this bird is to the right of all other birds in its habitat, move it to another habitat.;Jos tämä lintu on kaikkien muiden lintujen oikealla puolella sen elinympäristössä, siirrä se toiseen elinympäristöön.
White-Faced Heron;Egretta novaehollandiae;Reset the birdfeeder and gain all [fish], if there are any. You may cache any or all of them on this bird.;Nollaa lintujensyöttölaite ja ota kaikki [kalat], jos niitä on. Voit tallentaa minkä tahansa tai kaikki niistä tälle linnulle.
White-Faced Ibis;Plegadis chihi;Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos ne ovat [kaloja], säilytä 1 [kala] tämän linnun päälle.
White-Throated Dipper;Cinclus cinclus;Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].;Hävitä kaikki jäljellä oleva kuvapuoli ylöspäin [kortti] ja täytä lokero uudelleen. Jos teet niin, nosta yksi uudesta kuvapuoli ylöspäin [kortista].
White-Throated Swift;Aeronautes saxatalis;Tuck 1 [card] from your hand behind this bird. If you do, lay 1 [egg] on any bird.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, muni 1 [muna] mille tahansa linnulle.
Whooping Crane;Grus americana;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Wild Turkey;Meleagris gallopavo;;-
Willet;Tringa semipalmata;Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos ne ovat [kaloja], säilytä 1 [kala] tämän linnun päälle
Willie-Wagtail;Rhipidura leucophrys;Draw 1 face-up [card] from the tray with a [bowl] or [star] nest. You may reset or refill the tray before doing so.;Nosta 1 kuvapuoli ylöspäin [kortti] alustalta, jossa on [kulho] tai [tähti]. Voit nollata tai täyttää lokeron ennen kuin teet niin.
Wilson's Snipe;Gallinago delicata;All players draw 1 [card] from the deck.;Kaikki pelaajat nostavat 1 [kortin] pakasta.
Wilson's Storm Petrel;Oceanites oceanicus;Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.;Nosta 1 [kortti] jokaista tämän rivin tyhjää korttipaikkaa kohti. Pidä vuorosi lopussa 1 ja hylkää loput.
Wood Duck;Aix sponsa;Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.;Nosta 2 [kortti]. Jos teet niin, hävitä 1 [kortti] kädestäsi vuorosi lopussa.
Wood Stork;Mycteria americana;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Wrybill;Anarhynchus frontalis;Look through all discarded bonus cards. Keep 1 of them.;Tarkista kaikki hylätyt bonuskortit. Pidä niistä 1.
Yellow-Bellied Sapsucker;Sphyrapicus varius;Gain 1 [invertebrate] from the supply.;Hanki 1 [ötökkä] tarjonnasta.
Yellow-Billed Cuckoo;Coccyzus americanus;"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.";"Kun toinen pelaaja tekee ""muninta"" -toiminnon, muni 1 [muna] linnulle, jolla on [kulho]pesä."
Yellow-Breasted Chat;Icteria virens;If this bird is to the right of all other birds in its habitat, move it to another habitat.;Jos tämä lintu on kaikkien muiden lintujen oikealla puolella sen elinympäristössä, siirrä se toiseen elinympäristöön.
Yellow-Headed Blackbird;Xanthocephalus xanthocephalus;Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, voit myös munia 1 [munan] tälle linnulle.
Yellow-Rumped Warbler;Setophaga coronata;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
Yellowhammer;Emberiza citrinella;If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.;Jos käytit kaikkia neljää toimintatyyppiä tällä kierroksella, pelaa toinen lintu. Maksa normaalit ruoka- ja munakustannukset.
